Page_ID,Class,Count,Confidence_Avg,Min_Confidence,Max_Confidence
1,door,0,0.000,0.000,0.000
1,object,0,0.000,0.000,0.000
1,wall,5,0.651,0.584,0.719
1,window,0,0.000,0.000,0.000
2,door,0,0.000,0.000,0.000
2,object,0,0.000,0.000,0.000
2,wall,19,0.622,0.504,0.798
2,window,0,0.000,0.000,0.000
3,door,0,0.000,0.000,0.000
3,object,0,0.000,0.000,0.000
3,wall,15,0.653,0.517,0.792
3,window,1,0.536,0.536,0.536
4,door,9,0.698,0.501,0.846
4,object,0,0.000,0.000,0.000
4,wall,56,0.666,0.504,0.811
4,window,11,0.678,0.522,0.789
5,door,3,0.597,0.511,0.683
5,object,0,0.000,0.000,0.000
5,wall,18,0.606,0.504,0.795
5,window,1,0.589,0.589,0.589
6,door,1,0.591,0.591,0.591
6,object,0,0.000,0.000,0.000
6,wall,16,0.599,0.502,0.719
6,window,0,0.000,0.000,0.000
7,door,2,0.604,0.579,0.629
7,object,0,0.000,0.000,0.000
7,wall,25,0.614,0.507,0.737
7,window,2,0.578,0.552,0.604
8,door,13,0.753,0.509,0.883
8,object,0,0.000,0.000,0.000
8,wall,56,0.656,0.504,0.811
8,window,11,0.702,0.612,0.803
9,door,0,0.000,0.000,0.000
9,object,0,0.000,0.000,0.000
9,wall,15,0.620,0.500,0.766
9,window,2,0.665,0.608,0.722
10,door,0,0.000,0.000,0.000
10,object,0,0.000,0.000,0.000
10,wall,32,0.662,0.512,0.876
10,window,9,0.589,0.533,0.694
11,door,1,0.744,0.744,0.744
11,object,0,0.000,0.000,0.000
11,wall,34,0.646,0.507,0.817
11,window,0,0.000,0.000,0.000
12,door,0,0.000,0.000,0.000
12,object,0,0.000,0.000,0.000
12,wall,27,0.682,0.501,0.848
12,window,2,0.611,0.547,0.675
13,door,1,0.615,0.615,0.615
13,object,0,0.000,0.000,0.000
13,wall,33,0.647,0.508,0.840
13,window,2,0.514,0.506,0.522
14,door,0,0.000,0.000,0.000
14,object,0,0.000,0.000,0.000
14,wall,25,0.624,0.505,0.823
14,window,0,0.000,0.000,0.000
